Registration,Name,Breed,Variety,Color,Sex,Birth_Date,Sire,Dam,AppNum,CHIC,Test_Date,Age(mos),Registry,Results,OFA_#,Registration_Results_Num,Sire_Results_Num,Sire_Sire,Sire_Dam,Dam_Results_Num,Dam_Sire,Dam_Dam,Sire_Sire_Results_Num,Sire_Sire_Sire,Sire_Sire_Dam,Sire_Dam_Results_Num,Sire_Dam_Sire,Sire_Dam_Dam,Dam_Sire_Results_Num,Dam_Sire_Sire,Dam_Sire_Dam,Dam_Dam_Results_Num,Dam_Dam_Sire,Dam_Dam_Dam,Sire_Sire_Sire_Results_Num,Sire_Sire_Dam_Results_Num,Sire_Dam_Sire_Results_Num,Sire_Dam_Dam_Results_Num,Dam_Sire_Sire_Results_Num,Dam_Sire_Dam_Results_Num,Dam_Dam_Sire_Results_Num,Dam_Dam_Dam_Results_Num,Registration_Parents_Results_Num,Sire_Parents_Results_Num,Dam_Parents_Results_Num,Sire_Sire_Parents_Results_Num,Sire_Dam_Parents_Results_Num,Dam_Sire_Parents_Results_Num,Dam_Dam_Parents_Results_Num
DN42557601,MARGAUX'S BELIEVE IN MAGIC,BOUVIER DES FLANDRES,,BRINDLE,F,Jan 28 2015 ,DN33079902,DN15958702,1873441,124052.0,Apr  3 2017 ,26,HIPS,FAIR,BF-7348F26F-VPI,2.0,1.0,DN15388902,DN21942101,0.0,DL74175102,DN01260301,2.0,DL79000411,DN02374401,1.0,DN08392507,DN07624201,1.0,DL40883506,DL54464801,1.0,DL74618103,DL73936801,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.5,1.5,2.5,2.0,1.5,2.5
DN35416902,MARGAUX'S BOURNE TO RUN AT WARWICK,BOUVIER DES FLANDRES,,BRINDLE,M,Oct  5 2012 ,DN21392304,DN25534402,1661204,110243.0,Nov 20 2015 ,37,HIPS,EXCELLENT,BF-7183E37M-VPI,0.0,1.0,DN10958707,DN10947703,2.0,DN08392507,DN07624201,1.0,DN04619001,DL78928306,1.0,DL90091102,DL84303901,1.0,DL74175102,DL74618102,2.0,DL79054303,DL83107001,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.5,2.0,1.5,1.5,2.0,1.5
DN58616402,MARGAUX'S BULLSEYE IN THE LUNAR ECLIPSE,BOUVIER DES FLANDRES,,BRINDLE,F,Apr 29 2019 ,DN46735101,DN38511601,2342646,,Mar 15 2022 ,34,HIPS,GOOD,BF-7845G34F-C-NOPI,1.0,0.0,DN38696605,DN30721601,1.0,DN21392304,DN20022601,1.0,DN17523303,DN25500706,0.0,DN15388902,DN15958702,1.0,DN10958707,DN10947703,2.0,DN08392507,DN07355404,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.5,1.5
DN59895703,MARGAUX'S CAJUN STORM,BOUVIER DES FLANDRES,,GRAY BRINDLE,M,Sep 12 2019 ,DN37453401,DN48911601,2327819,,Jan 25 2022 ,28,HIPS,FAIR,BF-7839F28M-C-NOPI,2.0,1.0,DN21392304,DN20022601,0.0,DN31998201,DN30721601,1.0,DN10958707,DN10947703,2.0,DN08392507,DN07355404,1.0,DN06115102,DN14304001,0.0,DN15388902,DN15958702,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.5,1.5,1.5,2.0
DN68071404,MARGAUX'S CHANCE TO MAKE MAGIC AT BOLERO,BOUVIER DES FLANDRES,,BRINDLE,M,Apr 20 2021 ,DN57200702,DN50709814,2469007,185062.0,Jun 16 2023 ,25,HIPS,GOOD,BF-7989G25M-P-VPI,1.0,1.0,DN46735101,DN38511601,1.0,DN31998201,DN41230003,0.0,DN38696605,DN30721601,1.0,DN21392304,DN20022601,1.0,DN06115102,DN14304001,1.0,DN34773703,DN36062203,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,0.5,1.5,1.0,2.0,1.5,1.5
DN57284601,MARGAUX'S CHASING GLORY,BOUVIER DES FLANDRES,,BRINDLE,F,Jan  7 2019 ,DN46735101,DN36274401,2211490,178254.0,Jan 25 2021 ,24,HIPS,GOOD,BF-7742G24F-VPI,1.0,0.0,DN38696605,DN30721601,1.0,DN28985101,DN15958702,1.0,DN17523303,DN25500706,0.0,DN15388902,DN15958702,1.0,DN16046401,DN10913101,0.0,DL74175102,DN01260301,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.5,1.5
DN63466301,MARGAUX'S CONFETTI,BOUVIER DES FLANDRES,,BRINDLE,F,Jun 21 2020 ,DN57200702,DN51499601,2406751,180386.0,Feb 13 2023 ,31,HIPS,GOOD,BF-7948G31F-P-VPI,1.0,1.0,DN46735101,DN38511601,1.0,DN31998201,DN42557601,0.0,DN38696605,DN30721601,1.0,DN21392304,DN20022601,1.0,DN06115102,DN14304001,2.0,DN33079902,DN15958702,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.5,0.5,2.0,1.0,2.0,1.5,1.0
DN46735101,MARGAUX'S CUT TO THE CHASE,BOUVIER DES FLANDRES,,BRINDLE,M,Mar 29 2016 ,DN38696605,DN30721601,1960987,129028.0,Mar 30 2018 ,24,HIPS,EXCELLENT,BF-7468E24M-VPI,0.0,1.0,DN17523303,DN25500706,0.0,DN15388902,DN15958702,0.0,DL91292602,DL91316702,2.0,DN00405502,DN19233901,2.0,DL79000411,DN02374401,0.0,DL74175102,DN01260301,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.5,2.5,1.5
DN19221804,MARGAUX'S DAI YOJIMBO,BOUVIER DES FLANDRES,,BRINDLE,M,Jul 29 2007 ,DN10578701,DN14349201,1387914,,Sep 14 2009 ,25,HIPS,BORDERLINE,,3.0,2.0,DL74175105,DN01260301,1.0,DL87317802,DL88354701,1.0,DL40883506,DL54464801,1.0,DL74618103,DL73936801,1.0,DL68651602,DL65760702,1.0,DL68641507,DL47559201,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.5,1.5,1.5,1.5,2.5,2.0,1.5
DN63466302,MARGAUX'S DARK VICTORY,BOUVIER DES FLANDRES,,BRINDLE,M,Jun 21 2020 ,DN57200702,DN51499601,2415168,180432.0,Dec 27 2022 ,30,HIPS,GOOD,BF-7950G30M-C-VPI,1.0,1.0,DN46735101,DN38511601,1.0,DN31998201,DN42557601,0.0,DN38696605,DN30721601,1.0,DN21392304,DN20022601,1.0,DN06115102,DN14304001,2.0,DN33079902,DN15958702,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.5,0.5,2.0,1.0,2.0,1.5,1.0
DN19316205,MARGAUX'S EBONY STRIDER,BOUVIER DES FLANDRES,,BLACK BRINDLE,M,Aug 10 2007 ,DN10578701,DN00812001,1391940,,Oct  8 2010 ,37,HIPS,GOOD,BF-6509G37M-VPI,1.0,2.0,DL74175105,DN01260301,1.0,DL65374703,DL75052102,1.0,DL40883506,DL54464801,1.0,DL74618103,DL73936801,0.0,DL53754204,D894336,1.0,DL42136802,DL46251407,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.5,1.5,0.5,1.5,2.5,1.0,1.5
DN59895702,MARGAUX'S FAST AND FURIOUS,BOUVIER DES FLANDRES,,BRINDLE,M,Sep 12 2019 ,DN37453401,DN48911601,2312040,168698.0,Apr  5 2022 ,30,HIPS,GOOD,BF-7849G30M-C-VPI,1.0,1.0,DN21392304,DN20022601,0.0,DN31998201,DN30721601,1.0,DN10958707,DN10947703,2.0,DN08392507,DN07355404,1.0,DN06115102,DN14304001,0.0,DN15388902,DN15958702,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.5,1.5,1.5,2.0
